TITLE,YEAR,LANG,EDITORA,AUTHOR,ORDER,ORDER_OK,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Face Detection under Illumination Variance Using Combined AdaBoost and Gradientfaces,2012,Português,Springer Berlin Heidelberg,"['Joao Paulo Magalhaes', 'Ren, Tsang Ing', 'CAVALCANTI, GEORGE D. C.']","['1', '2', '3']",['1'],6745827031682849,Joao Paulo Magalhaes,Magalhaes,"MAGALHAES, J. P.;MAGALHAES, JOAO PAULO;Magalhaes, Joao Paulo",Recife,PE,"Mestre em Ciências da Computação pelo Centro de Informática da Universidade Federal de Pernambuco (UFPE) em 2010, com foco em visão computacional, aprendizagem de maquinas e processamento de imagens. Possui graduação em Engenharia da Computação também pela UFPE (2008). Desenvolveu pesquisas acadêmicas vinculadas ao VIISAR (Grupo de pesquisas em Visão Computacional da UFPE) e a instituições de pesquisa e desenvolvimento como o Centro de Estudos e Sistemas Avançados do Recife (C.E.S.A.R.), tendo publicado artigos nas áreas de visão computacional, aprendizagem de máquinas, processamento de imagens e dispositivos móveis. &amp;#10;&amp;#10;Com mais de doze anos de experiência profissional, sempre manteve seu trabalho relacionado a pesquisa e desenvolvimento de novas tecnologias, produtos e empresas, com destaque para os mais de 5 anos com dedicação ao C.E.S.A.R. - onde trabalha diretamente com empresas líderes nos mercados nacional e internacional, como a SAMSUNG, Motorola, LG e outras. Atua como líder técnico e de equipes em projetos de pesquisa e desenvolvimento nas áreas de Ciência de Dados, Aprendizagem de Máquinas e novas tecnologias, em geral, como Internet das Coisas e outras. Além disso, também atua como professor em cursos de Graduação, Especialização / Pós Graduação e Extensão em disciplinas técnicas de Aprendizagem de Máquinas e de Inteligência Artificial e Novas Tecnologias, como os Produtos Inteligentes e Conectados, em cursos executivos.&amp;#10;&amp;#10;Tem interesse constante na criação e engenharia de novos produtos e serviços de base tecnológica. Especialista em Aprendizagem de Máquinas. Possui sólida experiência na arquitetura de sistemas distribuídos, principalmente envolvendo dispositivos móveis, embarcados e IoT (Internet das Coisas).&amp;#10;Mantém interesse acadêmico nas áreas de Inteligência e Visão Computacional, Aprendizagem de Máquinas, Ciências de Dados e novas tecnologias em geral.",04-03-2022,CESAR School,
O museu e o objeto museológico após as novas tecnologias: um estudo sob a perspectiva da nova museologia e da cibercultura,2017,Português,Marcavisual,"['Yvana Oliveira de Alencastro', 'Nilson Valdevino Soares', 'Jocelise Jacques de Jacques', 'Luis Carlos Petry', 'Gabriela Zubaran de Azevedo Pizzato', 'Fábio Pinto da Silva']","['1', '2', '3', '4', '5', '6']",['1'],5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
Use of Immersive Reality and Haptic Devices in Rehabilitation after Cerebral Vascular Accident: Clinical Perspectives and Neuro-Image Evidence,2014,Inglês,Springer International Publishing,"['Helda Oliveira Barros', 'Soares, Marcelo Márcio', 'Rolim Filho, Epitácio Leite']","['1', '2', '3']",['1'],7304349084200954,Helda Oliveira Barros,Barros,"BARROS, H. O.;Helda O. Barros;BARROS, Helda Oliveira;BARROS, Helda O.;Barros, Helda O.;Barros, Helda Oliveira;H.O. Barros;H.O. Barros et al;Helda Oliveira Barros;OLIVEIRA BARROS, HELDA",Rio de Janeiro,RJ,"Pesquisadora sobre Neurodesign e Realidades Mediadas por Computadores. Atualmente, coordena o Mestrado Profissional da Cesar School, onde também atua como docente da Graduação em Design. É consultora de qualificação no CESAR, atuando na área de Desenvolvimento &amp; Operações com foco em UX Design. Doutora em Design pela UFPE e Head do LIGA - Laboratório de Inovação e Geração de Artefatos.",19-09-2022,Centro de Estudos e Sistemas Avançados do Recife,https://orcid.org/0000-0003-2337-493X
Jogos Evocativos: o conceito de objeto evocativo de Turkle e os jogos digitais,2017,Português,Intercom,"['Nilson Valdevino Soares', 'Luis Carlos Petry']","['1', '2']",['1'],8635639989103523,Nilson Valdevino Soares,Soares,"SOARES, Nilson;SOARES, Nilson Valdevino;SOARES, Nilson V.;SOARES, N. V.",Recife,PE,"Docente do Programa de Pós-graduação em Design de Artefatos Digitais da CESAR School Manaus e também dos cursos de &amp;quot;Mestrado Profissional em Design&amp;quot;, &amp;quot;Bacharelado em Design&amp;quot; e &amp;quot;Especialização em Design de Interação para Artefatos Digitais&amp;quot; da CESAR School Recife. Membro do Núcleo de Pesquisa em Hipermídia e Games.&amp;#10;&amp;#10;Doutor em Tecnologias da Inteligência e Design Digital pela Pontifícia Universidade Católica de São Paulo (2019). Mestre em Comunicação pela Universidade Federal de Pernambuco (2009). Graduado em Comunicação Social - Jornalismo pela Universidade Federal de Pernambuco (2004).  &amp;#10;&amp;#10;Possui interesse em estudos na áreas de cibercultura e novas mídias, game studies e design de jogos, bem como nos aspectos sociais, culturais e de desenvolvimento dos jogos (digitais ou não).&amp;#10;&amp;#10;Tem experiência na área de Comunicação (com ênfase em jogos, mundos virtuais, novas tecnologias e cibercultura) e Educação (com atividades de ensino e pesquisa ligadas ao game design, cultura e história dos jogos digitais, processos de gamificação e história do design).",24-08-2022,,https://orcid.org/0000-0002-3260-1543
HORIZONTES DA PESQUISA EM CULTURA DE GAMES SOB A ESTÉTICA DA PRODUÇÃO,2019,Português,Atena Editora,"['Nilson Valdevino Soares', 'Petry, Luís Carlos', 'Vieira, Guilherme Sousa', 'Cabral, Ana Carolina Simões de Freitas', 'Blanco, Felipe', 'Machado, Saulo de Oliveira', 'Gomes, José Guilherme dos Santos']","['1', '2', '3', '4', '5', '6', '7']",['1'],8635639989103523,Nilson Valdevino Soares,Soares,"SOARES, Nilson;SOARES, Nilson Valdevino;SOARES, Nilson V.;SOARES, N. V.",Recife,PE,"Docente do Programa de Pós-graduação em Design de Artefatos Digitais da CESAR School Manaus e também dos cursos de &amp;quot;Mestrado Profissional em Design&amp;quot;, &amp;quot;Bacharelado em Design&amp;quot; e &amp;quot;Especialização em Design de Interação para Artefatos Digitais&amp;quot; da CESAR School Recife. Membro do Núcleo de Pesquisa em Hipermídia e Games.&amp;#10;&amp;#10;Doutor em Tecnologias da Inteligência e Design Digital pela Pontifícia Universidade Católica de São Paulo (2019). Mestre em Comunicação pela Universidade Federal de Pernambuco (2009). Graduado em Comunicação Social - Jornalismo pela Universidade Federal de Pernambuco (2004).  &amp;#10;&amp;#10;Possui interesse em estudos na áreas de cibercultura e novas mídias, game studies e design de jogos, bem como nos aspectos sociais, culturais e de desenvolvimento dos jogos (digitais ou não).&amp;#10;&amp;#10;Tem experiência na área de Comunicação (com ênfase em jogos, mundos virtuais, novas tecnologias e cibercultura) e Educação (com atividades de ensino e pesquisa ligadas ao game design, cultura e história dos jogos digitais, processos de gamificação e história do design).",24-08-2022,,https://orcid.org/0000-0002-3260-1543
Direito de se gabar: a exibição como princípio agonístico para o game design,2019,Português,C0D3S,"['Nilson Valdevino Soares', 'Petry, Luís Carlos']","['1', '2']",['1'],8635639989103523,Nilson Valdevino Soares,Soares,"SOARES, Nilson;SOARES, Nilson Valdevino;SOARES, Nilson V.;SOARES, N. V.",Recife,PE,"Docente do Programa de Pós-graduação em Design de Artefatos Digitais da CESAR School Manaus e também dos cursos de &amp;quot;Mestrado Profissional em Design&amp;quot;, &amp;quot;Bacharelado em Design&amp;quot; e &amp;quot;Especialização em Design de Interação para Artefatos Digitais&amp;quot; da CESAR School Recife. Membro do Núcleo de Pesquisa em Hipermídia e Games.&amp;#10;&amp;#10;Doutor em Tecnologias da Inteligência e Design Digital pela Pontifícia Universidade Católica de São Paulo (2019). Mestre em Comunicação pela Universidade Federal de Pernambuco (2009). Graduado em Comunicação Social - Jornalismo pela Universidade Federal de Pernambuco (2004).  &amp;#10;&amp;#10;Possui interesse em estudos na áreas de cibercultura e novas mídias, game studies e design de jogos, bem como nos aspectos sociais, culturais e de desenvolvimento dos jogos (digitais ou não).&amp;#10;&amp;#10;Tem experiência na área de Comunicação (com ênfase em jogos, mundos virtuais, novas tecnologias e cibercultura) e Educação (com atividades de ensino e pesquisa ligadas ao game design, cultura e história dos jogos digitais, processos de gamificação e história do design).",24-08-2022,,https://orcid.org/0000-0002-3260-1543
Educational Software Interface and Teachers´ Use,2003,Português,"Lawrence Erlbaum Associates, Inc.","['Walquíria Castelo Branco Lins', 'Alex Sandro Gomes']","['1', '2']",['1'],8922901056006734,Walquíria Castelo Branco Lins,Lins,"LINS, Walquíria C.B.;CASTELO BRANCO, W.;BRANCO, W.C.;LINS, WALQUIRIA;LINS, WALQUIRIA CASTELO BRANCO;LINS, WALQUÍRIA CASTELO BRANCO",Maragogi,AL,"Consultora do CESAR, pós-doutora pela Universidade de Helsinque-Finlândia com o Prof. Dr. Yrjö Engeström, no qual investigou a qprendizagem expansiva, em projetos de inovação tecnológica e educacional em área rural. Vem atuando em projetos de inovação na área de Tecnologia. Atua junto aos Mestrado Profissional em Design e Mestrado Profissional em Engenharia de Software do CESAR e também junto ao Programa de Pós-graduação em Educação Matemática e Tecnológica da UFPE. Pós-doutora em Tecnologia e Educação Científica. Doutora em Educação pela UFPE com pesquisas em Tecnologia na Educação, vem desde 2003 desenvolvendo experiências na formação de professores de Matemática para o uso da Informática. Licenciada e Bacharel em Filosofia pela Universidade Federal de Pernambuco e Bacharel em Sistema de Informação com Ênfase em Engenharia de Sofware. Especialista em Informática na Educação também pela UFPE, a partir do qual atuou nos laboratórios na informática na Educação tanto com alunos quanto na formação de professores.  Desenvolveu seu estágio pós-doutoral no projeto &amp;quot;Elaboração e utilização de um portal FlexQuest e de séries temáticas de Podcasting de Ciências&amp;quot;, junto a Universidade Federal Rural de Pernambuco, com o Prof. Dr. Marcelo Brito Carneiro Leão. Em 2004 concluiu seu Mestrado em Educação, pela UFPE, com pesquisa na área de Tecnologia na Educação, no qual investiu esforços na análise da atividade docente em laboratórios de Infomática a partir dos fundamentos da Teoria da Atividade. Em 2010 concluiu seu doutorado em Educação pela UFPE, investigando a docência online em ambientes de imersão 3D da Web 2.0. Com experiência no Ensino Superior, vem atuando com o uso e desenvolvimento de softwares no ensino de Matemática.",04-11-2022,Centro de Estudos e Sistemas Avançados do Recife,
A importância do Blogquest como estratégia pedagógica no processo de ensino-aprendizagem,2013,Português,Universitária-UFPE,"['Tatyane Souza Calixto da Silva', 'Jeane Cecília Bezerra de Melo']","['1', '2']",['1'],2357786818655678,Tatyane Souza Calixto da Silva,Silva,"SILVA, T. S. C.;DA SILVA, TATYANE SOUZA CALIXTO",Olinda,PE,"Possui graduação em Licenciatura em Computação pela Universidade Federal Rural de Pernambuco (2014), mestrado em Ciência da Computação pela Universidade Federal de Pernambuco (2016) e doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (2021). Atualmente é consultora de qualificação do Centro de Estudos e Sistemas Avançados do Recife, professora do curso de Ciência da Computação no CESAR School e  professora executora do Grupo Ser Educacional. Pesquisa nos seguintes temas: Pensamento Computacional, Ensino e Aprendizagem de Programação, Jogos Diversos, Game Jams e Criatividade.",31-10-2022,,
Pensamento Computacional e Criatividade: uma análise da percepção dos discentes sobre a prática docente,2017,Português,,"['Tatyane Souza Calixto da Silva', 'Jeane Cecília Bezerra de Melo', 'Patricia Cabral de Azevedo Restelli Tedesco']","['1', '2', '3']",['1'],2357786818655678,Tatyane Souza Calixto da Silva,Silva,"SILVA, T. S. C.;DA SILVA, TATYANE SOUZA CALIXTO",Olinda,PE,"Possui graduação em Licenciatura em Computação pela Universidade Federal Rural de Pernambuco (2014), mestrado em Ciência da Computação pela Universidade Federal de Pernambuco (2016) e doutorado em Ciência da Computação pela Universidade Federal de Pernambuco (2021). Atualmente é consultora de qualificação do Centro de Estudos e Sistemas Avançados do Recife, professora do curso de Ciência da Computação no CESAR School e  professora executora do Grupo Ser Educacional. Pesquisa nos seguintes temas: Pensamento Computacional, Ensino e Aprendizagem de Programação, Jogos Diversos, Game Jams e Criatividade.",31-10-2022,,
Como fazer genius? Uma análise da ludo motivação em tutoriais makers.,2017,Português,Marcavisual,"['Yvana Oliveira de Alencastro', 'Simone L. Sperhacke', 'Roberto Wanner Pires', 'Underlea Miotto Bruscato']","['1', '2', '3', '4']",['1'],5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
An Electronic Marketplace Architecture Based on Technology of Intelligent Agents and Knowledge,2001,Inglês,Springer-Verlag,"['Georgia Pinto Barbosa', 'Fabio Q. B. da Silva']","['1', '2']",['1'],6694205854000137,Georgia Pinto Barbosa,Barbosa,"BARBOSA, G. P.",Recife,PE,"Possui Graduação em Ciência da Computação pela Universidade Federal de Pernambuco (1996), mestrado em Ciências da Computação pela Universidade Federal de Pernambuco (2001), MBA em Gestão Empresarial pela Fundação Getúlio Vargas (2007) e é aluna do Doutorado em Engenharia de Software do CESAR School. Atualmente é chefe de gerente de projetos do CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE, responsável pelo PMO da organização, e professora do mestrado profissional em Engenharia de Software da CESAR School. Tem experiência na área de Ciência da Computação, com ênfase em Engenharia de Software, atuando principalmente nos seguintes temas: gestão de projetos, programas e portfólio, PMO, agilidade.",05-07-2022,CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,
Towards a Software Power Cost Analysis Framework Using Colored Petri Net,2004,Inglês,SpringerLink,"['Meuse Nogueira de Oliveira Junior', 'Fernando Ferreira de Carvalho', 'Raimundo da Silva Barreto', 'Paulo Romero Matins Maciel']","['1', '2', '3', '4']",['2'],8491797408318076,Fernando Ferreira de Carvalho,Carvalho,"CARVALHO, F.",Vitoria de Santo Antao,PE,"Possui graduação em Engenharia Elétrica Eletrônica pela Escola Politécnica de Pernambuco (2001), mestrado em Ciências da Computação pela Universidade Federal de Pernambuco (2005) e doutorado em Ciências da Computação pela Universidade Federal de Pernambuco (2010). Atualmente é pesquisador em Internet das Coisas (IoT) e professor consultor do C.E.S.A.R School onde fundou o grupo de pesquisa em Computação Física e Robótica. Também é professor  Instituto Federal de Pernambuco - Campus Recife, professor adjunto da Universidade de Pernambuco e professor titular da Faculdade dos Guararapes. Tem experiência na área de Ciência da Computação, com ênfase em Engenharia, Modelagem de Processos e Qualidade de Software, atuando principalmente nos seguintes temas: Modelagem de Processo de Negócios, Embedded system design e Qualidade de Software .",25-08-2022,Centro de Estudos e Sistemas Avançados do Recife,
