TITLE,YEAR,DOI,LANG,JOURNAL,QUALIS,ISSN,AUTHOR,ORDER,ORDER_OK,JCR,ID,FULL_NAME,LAST_NAME,CITADO,CITY,STATE,RESUME,UPDATE,ADDRESS_ENTERP,ORCID
Gamificação para melhoria do engajamento no ensino médio integrado,2015,,Português,XI SIMPÓSIO BRASILEIRO DE JOGOS E ENTRETENIMENTO DIGITAL,XX,2179-2259,"['Anderson Paulo da Silva', 'Valeska Ferraz Martins', 'Cristiane Dutra', 'Tiago Lemos de Araujo Machado', 'Luiz Francisco Alves de Araujo']","['1', '2', '3', '4', '5']",['5'],-99.0,4137898857225049,Luiz Francisco Alves de Araujo,Araujo,"ARAUJO, Luiz Francisco A.;ARAÚJO, L.;de Araújo, Luiz F.;Luiz F. de Araújo;Araújo, Luiz",São Paulo,SP,"É doutorando em Design pela Universidade Federal de Pernambuco na área de artefatos digitais, possui mestrado (2015) e graduação em Design 1994) pela mesma instituição. É coordenador do curso de Bacharelado em Design da CESAR School e também atua como coordenador do curso de especialização em Design de Interação para Artefatos Digitais na mesma instituição. Atuou como coordenador do Curso Técnico de Nível Médio de Multimídia/Artes para Jogos Digitais na Escola Técnica Estadual Cícero Dias - Programa NAVE,  e também coordenou a especialização em Design de Interação na Faculdade Guararapes. &amp;#10;Dentro do Programa NAVE coordenou orientou mais de 60 projetos de jogos e artefatos digitais que somam mais de 800.000 downloads nas lojas do Google Play e Microsoft Store, muitos destes projetos foram premiados em eventos como: Festival de Jogos Independentes do SBGames; competições de hackathon da Microsoft; Technovation Challenge; Concurso INOVApps do Ministério das Comunicações; dentre outros. Coordenou também projetos de animações selecionados e premiados em diversos festivais nacionais e internacionais como o Anima Mundi,  Festival Pequeno Cineasta, Mostra Geração - Festival do Rio, I.N.S.A.N.E. Festival, Grenada Aftergow e Fayette Film Fest.&amp;#10;Trabalhou mais de 18 anos na área de comunicação e design para várias empresas e instituições destacando projetos como: o livro/ações ?Comedoria Popular?, patrocinado pelo Fundo Pernambucano de Incentivo à Cultura - FUNCULTURA; &amp;quot;Direito do Consumidor nas Ruas&amp;quot; da ADECCON, financiado pelo Ministério da Justiça; projeto DVD-ROM da &amp;quot;Sala especial Paulo Bruscky&amp;quot; para Bienal de Artes de São Paulo 2004, projeto patrocinado pelo Centro Cultural Brasil Alemanha - CCBA e Consulado Alemão.",10-09-2021,Centro de Estudos e Sistemas Avançados do Recife,https://orcid.org/0000-0002-4610-6586
Extreme global solar irradiance due to cloud enhancement in northeastern Brazil,2016,10.1016/j.renene.2015.09.012,Inglês,Renewable Energy,A2,0960-1481,"['Ricardo Cesar de Andrade', 'chigueru tiba']","['1', '2']",['1'],-99.0,4178418834498425,Ricardo Cesar de Andrade,Andrade,"ANDRADE, R. C.;DE ANDRADE, RICARDO CESAR",Jaboatão,PE,"Possui graduação em FÍSICA BACHARELADO pela Universidade Federal de Pernambuco (2005), mestrado em Tecnologias Energéticas Nucleares pela Universidade Federal de Pernambuco (2007) e doutorado em TECNOLOGIAS ENERGÉTICAS E NUCLEARES pela Universidade Federal de Pernambuco (2016). Atualmente é professor da CESAR School, lecionando na disciplina de matemática para computação, lógica matemática para computação e Estatística e Probabilidade para computação. Tendo mais de dois anos de experiência de ensino a distância.",04-03-2022,,
SUNCLOUD-E: SOFTWARE PARA A LOCALIZAÇÃO DO EFEITO LENTE PRODUZIDO POR NUVENS NA IRRADIAÇÃO SOLAR GLOBAL,2015,,Português,Revista Brasileira de Energia Solar,B5,2178-9606,"['Ricardo Cesar de Andrade', 'Chigueru Tiba', 'NAUM FRAIDENRAICH', 'Tarcísio Coutinho da Silva.']","['1', '2', '3', '4']",['1'],-99.0,4178418834498425,Ricardo Cesar de Andrade,Andrade,"ANDRADE, R. C.;DE ANDRADE, RICARDO CESAR",Jaboatão,PE,"Possui graduação em FÍSICA BACHARELADO pela Universidade Federal de Pernambuco (2005), mestrado em Tecnologias Energéticas Nucleares pela Universidade Federal de Pernambuco (2007) e doutorado em TECNOLOGIAS ENERGÉTICAS E NUCLEARES pela Universidade Federal de Pernambuco (2016). Atualmente é professor da CESAR School, lecionando na disciplina de matemática para computação, lógica matemática para computação e Estatística e Probabilidade para computação. Tendo mais de dois anos de experiência de ensino a distância.",04-03-2022,,
ROUPA COMO PROTEÇÃO CONTRA RADIAÇÃO SOLAR UV.,2013,,Português,Avances en Energías Renovables y Medio Ambiente,XX,0329-5183,"['WALDIZIA M M ALBUQUERQUE', 'Chigueru Tiba', 'Ricardo Cesar de Andrade', 'Sergio da S. A. Leal']","['1', '2', '3', '4']",['3'],-99.0,4178418834498425,Ricardo Cesar de Andrade,Andrade,"ANDRADE, R. C.;DE ANDRADE, RICARDO CESAR",Jaboatão,PE,"Possui graduação em FÍSICA BACHARELADO pela Universidade Federal de Pernambuco (2005), mestrado em Tecnologias Energéticas Nucleares pela Universidade Federal de Pernambuco (2007) e doutorado em TECNOLOGIAS ENERGÉTICAS E NUCLEARES pela Universidade Federal de Pernambuco (2016). Atualmente é professor da CESAR School, lecionando na disciplina de matemática para computação, lógica matemática para computação e Estatística e Probabilidade para computação. Tendo mais de dois anos de experiência de ensino a distância.",04-03-2022,,
Integrating an AAA-based federation mechanism for OpenStack-The CLASSe view,2017,10.1002/cpe.4148,Inglês,CONCURRENCY AND COMPUTATION-PRACTICE &amp; EXPERIENCE,XX,1532-0626,"['P?REZ M?NDEZ, ALEJANDRO', 'L?PEZ MILL?N, GABRIEL', 'MAR?N L?PEZ, RAFAEL', 'CHADWICK, DAVID W.', 'Ioram Schechtman Sette']","['1', '2', '3', '4', '5']",['5'],-99.0,4304915270065653,Ioram Schechtman Sette,Sette,"SETTE, I. S.;Sette, I. S.;Sette, Ioram S.;SCHECHTMAN SETTE, IORAM",Recife,PE,"Doutor em ciência da computação pelo CIn/UFPE (2016), Ioram Sette atua como CTO na startup Verifiable Credentials Ltd e como Professor e Pesquisador no Centro de Estudos e Sistemas Avançados do Recife (CESAR). Possui mais de 25 de experiência na área de desenvolvimento e administração de sistemas distribuídos. Fundou uma BBS e Provedor de Internet em Recife, PE. Trabalhou também na e-Capture - rede de captura de transações eletrônicas, empresa adquirida pelo Itaú Unibanco. Seus interesses de pesquisa incluem ambientes multi-nuvem heterogêneos, cultura DevOps, gestão da identidade (IdM), Credenciais Verificáveis (VCs) e Identidades Auto-Soberanas (SSI), autorização baseada em políticas, segurança da informação e teoria da computação.",23-05-2021,Centro de Estudos e Sistemas Avançados do Recife,
Authorization Policy Federation in Heterogeneous Multicloud Environments,2017,10.1109/mcc.2017.3791018,Português,IEEE CLOUD COMPUTING,XX,2325-6095,"['Ioram Schechtman Sette', 'CHADWICK, DAVID W.', 'FERRAZ, CARLOS A. G.']","['1', '2', '3']",['1'],4.393,4304915270065653,Ioram Schechtman Sette,Sette,"SETTE, I. S.;Sette, I. S.;Sette, Ioram S.;SCHECHTMAN SETTE, IORAM",Recife,PE,"Doutor em ciência da computação pelo CIn/UFPE (2016), Ioram Sette atua como CTO na startup Verifiable Credentials Ltd e como Professor e Pesquisador no Centro de Estudos e Sistemas Avançados do Recife (CESAR). Possui mais de 25 de experiência na área de desenvolvimento e administração de sistemas distribuídos. Fundou uma BBS e Provedor de Internet em Recife, PE. Trabalhou também na e-Capture - rede de captura de transações eletrônicas, empresa adquirida pelo Itaú Unibanco. Seus interesses de pesquisa incluem ambientes multi-nuvem heterogêneos, cultura DevOps, gestão da identidade (IdM), Credenciais Verificáveis (VCs) e Identidades Auto-Soberanas (SSI), autorização baseada em políticas, segurança da informação e teoria da computação.",23-05-2021,Centro de Estudos e Sistemas Avançados do Recife,
Do pacifiers increase the risk of nosocomial diarrhoea? A cohort study,2012,10.1136/bmjopen-2011-000427,Inglês,BMJ Open,XX,2044-6055,"['Sette, G. C. S.', 'Mello, M. J. G.', 'Correia, J. B.', 'Ioram Schechtman Sette', 'Pontes da Silva, G. A.', 'Soares de Lima, L.']","['1', '2', '3', '4', '5', '6']",['4'],2.376,4304915270065653,Ioram Schechtman Sette,Sette,"SETTE, I. S.;Sette, I. S.;Sette, Ioram S.;SCHECHTMAN SETTE, IORAM",Recife,PE,"Doutor em ciência da computação pelo CIn/UFPE (2016), Ioram Sette atua como CTO na startup Verifiable Credentials Ltd e como Professor e Pesquisador no Centro de Estudos e Sistemas Avançados do Recife (CESAR). Possui mais de 25 de experiência na área de desenvolvimento e administração de sistemas distribuídos. Fundou uma BBS e Provedor de Internet em Recife, PE. Trabalhou também na e-Capture - rede de captura de transações eletrônicas, empresa adquirida pelo Itaú Unibanco. Seus interesses de pesquisa incluem ambientes multi-nuvem heterogêneos, cultura DevOps, gestão da identidade (IdM), Credenciais Verificáveis (VCs) e Identidades Auto-Soberanas (SSI), autorização baseada em políticas, segurança da informação e teoria da computação.",23-05-2021,Centro de Estudos e Sistemas Avançados do Recife,
The Anatomy of IoT Platforms - A Systematic Multivocal Mapping Study,2022,10.1109/ACCESS.2022.3189660,Português,IEEE Access,XX,2169-3536,"['BARROS, TIAGO G. F.', 'Eronides Felisberto da Silva Neto', 'NETO, JOAO ALEXANDRE S.', 'DE SOUZA, ANDRE G. M.', 'AQUINO, VITOR B.', 'TEIXEIRA, ERICO S.']","['1', '2', '3', '4', '5', '6']",['2'],4.098,4364517952689670,Eronides Felisberto da Silva Neto,Neto,"SILVA NETO, E. F.;DA SILVA NETO, ERONIDES F.",,,"Mestre em Ciências da Computação pela Universidade Federal de Pernambuco  (UFPE), é graduado em Engenharia Eletrônica pela Universidade Federal de Pernambuco (DES-UFPE). Atua como Engenheiro de sistemas embarcados no Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo responsável pelo desenvolvimento de projetos de hardware e no desenvolvimento de software embarcado. Além da atuação no CESAR, participou no como bolsista de Cooperação Técnica (P&amp;D, Edital Tecnova FACEPE) na empresa WT Engenharia (2015-2016) na área de sistemas embarcados. &amp;#10;&amp;#10;Como pesquisador, possui experiência no processamento de imagens e áudio no software MATLAB, sendo bolsista de iniciação cientifica duas vezes nos projetos: Técnicas de Segurança para Multimidia Digital e  Um estúdio sobre o áudio digital. Possui experiência relacionada ao ensino adquirida durante sua graduação, quando foi monitor quatro vezes na UFPE e lecionou no Colégio NAP (Projeto NAP-Comunidade).",12-07-2022,Centro de Estudos e Sistemas Avançados do Recife,
Audio encryption based on the cosine number transform,2015,10.1007/s11042-015-2755-6,Inglês,Multimedia Tools and Applications,XX,1380-7501,"['LIMA, JULIANO B.', 'Eronides Felisberto da Silva Neto']","['1', '2']",['2'],2.101,4364517952689670,Eronides Felisberto da Silva Neto,Neto,"SILVA NETO, E. F.;DA SILVA NETO, ERONIDES F.",,,"Mestre em Ciências da Computação pela Universidade Federal de Pernambuco  (UFPE), é graduado em Engenharia Eletrônica pela Universidade Federal de Pernambuco (DES-UFPE). Atua como Engenheiro de sistemas embarcados no Centro de Estudos e Sistemas Avançados do Recife (CESAR), sendo responsável pelo desenvolvimento de projetos de hardware e no desenvolvimento de software embarcado. Além da atuação no CESAR, participou no como bolsista de Cooperação Técnica (P&amp;D, Edital Tecnova FACEPE) na empresa WT Engenharia (2015-2016) na área de sistemas embarcados. &amp;#10;&amp;#10;Como pesquisador, possui experiência no processamento de imagens e áudio no software MATLAB, sendo bolsista de iniciação cientifica duas vezes nos projetos: Técnicas de Segurança para Multimidia Digital e  Um estúdio sobre o áudio digital. Possui experiência relacionada ao ensino adquirida durante sua graduação, quando foi monitor quatro vezes na UFPE e lecionou no Colégio NAP (Projeto NAP-Comunidade).",12-07-2022,Centro de Estudos e Sistemas Avançados do Recife,
Os robôs em sala de aula:Desmistificação da tecnologia atravésda plataforma colaborativa Robô Livre.,2012,,Português,Revista IBGM,XX,2179-846X,"['Rodrigo Pessoa Medeiros', 'Henrique Braga Foresti', 'Paulo Faltay Filho']","['1', '2', '3']",['2'],-99.0,5161255861654045,Henrique Braga Foresti,Foresti,"FORESTI, H. B.",Varginha,MG,"Cursou a Escola Técnica de Eletrônica  ETE &amp;quot;FMC&amp;quot; (de 1994 à 1996), possui  graduação em Ciência da Computação pela Universidade do Estado de Minas Gerais (2001) e mestrado em Engenharia Mecânica pela Universidade Federal de Pernambuco (2006).  É Professora da CESAR School, dealizador da plataforma robótica livre - Robô Livre e Engenheiro de Sistemas no CESAR. Conduziu diversas pesquisas sobretudo na área de Robótica, Eletrônica Embarcada e Veículo Aéreos não Tripulados acreditados por diversas Empresas e Órgãos de Fomento.",12-07-2022,Centro de Estudos e Sistemas Avançados do Recife,
Os Robôs se Libertam,2011,,Português,Revista Espírito Livre,XX,2236-031X,['Henrique Braga Foresti'],['1'],['1'],-99.0,5161255861654045,Henrique Braga Foresti,Foresti,"FORESTI, H. B.",Varginha,MG,"Cursou a Escola Técnica de Eletrônica  ETE &amp;quot;FMC&amp;quot; (de 1994 à 1996), possui  graduação em Ciência da Computação pela Universidade do Estado de Minas Gerais (2001) e mestrado em Engenharia Mecânica pela Universidade Federal de Pernambuco (2006).  É Professora da CESAR School, dealizador da plataforma robótica livre - Robô Livre e Engenheiro de Sistemas no CESAR. Conduziu diversas pesquisas sobretudo na área de Robótica, Eletrônica Embarcada e Veículo Aéreos não Tripulados acreditados por diversas Empresas e Órgãos de Fomento.",12-07-2022,Centro de Estudos e Sistemas Avançados do Recife,
O workshop como ferramenta de pesquisa em design: uma análise do periódico design studies entre os anos de 2006 e 2015,2016,,Português,"Revista de Design, Tecnologia e Sociedade",XX,2525-7471,"['Bruna Lummertz Lima', 'Adriana Galli Velho', 'Matheus Knebel', 'Yvana Oliveira de Alencastro', 'Júlio Carlos de Souza Van der Linden']","['1', '2', '3', '4', '5']",['4'],-99.0,5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
O DESIGN E O CONTEXTO ?WICKED? ATRAVÉS DA RESOLUÇÃO DE PROBLEMAS: DO ATUAL AO REVISITADO,2018,,Português,REVISTA EDUCAÇÃO GRÁFICA,XX,2179-7374,"['Fernando S. Ximenes', 'Yvana Oliveira de Alencastro', 'Júlio Carlos de Souza Van der Linden', 'Luiz Henrique Alves Candido', 'Jocelise Jacques de Jacques']","['1', '2', '3', '4', '5']",['2'],-99.0,5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
Ferramentas de digitalização 3D faça-você-mesmo na preservação do patrimônio cultural,2019,10.20435/inter.v0i0.1744,Português,INTERAÇÕES,B5,1984-042X,"['Yvana Oliveira de Alencastro', 'DANTAS, PAULO VICTOR DE FARIAS', 'SILVA, FÁBIO PINTO DA', 'JACQUES, JOCELISE JACQUES DE']","['1', '2', '3', '4']",['1'],-99.0,5293927608955859,Yvana Oliveira de Alencastro,Alencastro,"ALENCASTRO, Y. O.;ALENCASTRO, YVANA OLIVEIRA",Recife,PE,"Mestre em DESIGN E TECNOLOGIA na Universidade Federal do Rio Grande do Sul. Possui duas pós-graduações Latto Senso. Especialização em DESIGN DE INTERAÇÃO E INTERFACE PARA DISPOSITIVOS realizado no Centro de Estudos e Sistemas Avançados do Recife, CESAR, Brasil. MBA em Marketing realizado na Universidade de Pernambuco. Possui graduação em DESIGN pela Universidade Federal de Pernambuco (2006). Tem experiência na área de Desenho Industrial, com ênfase em Programação Visual, atuando principalmente nas seguintes áreas: design editorial, memória gráfica, tipografia, moderno, marcas e pós-moderno.",05-07-2021,,
A consolidação de sites de reclamação online como uma alternativa eficaz no intermédio das relações de consumo: um estudo de caso do site reclame aqui,2022,10.34117/bjdv8n5-196,Português,Revista Brazilian Journal of Development,XX,2525-8761,"['Janaina de Holanda Costa Calazans', 'Gabriela Rocha Barros Coelho', 'Georgina Venancio de Queiroz', 'Karlla Lacerda R da Silva']","['1', '2', '3', '4']",['3'],-99.0,5943304308541304,Georgina Venancio de Queiroz,Queiroz,"Venancio, Georgina;Queiroz, Georgina V;Queiroz, GV;Venancio, Georgina Queiroz;Queiroz, Georgina",Recife,PE,"Mestra em Gestão Empresarial pela UniFBV&amp;#10;Especialista em Marketing pela FGV e em Planejamento e Gestão Organizacional pela FCAP&amp;#10;Graduação em Administração de Empresas pela Universidade Católica de Pernambuco.&amp;#10;&amp;#10;Titular de disciplinas na CESAR School (www.cesar.school)&amp;#10;Integrante do grupo de professores convidados de pós graduação do Centro de Desenvolvimento Pessoal e Empresarial - CEDEPE (www.cedepe.com.br)&amp;#10;Atua como professora convidada e coordenadora do MBA em Marketing Digital na UniSãoMiguel (www.unisaomiguel.edu.br)&amp;#10;&amp;#10;Tem experiências na área de Gestão, com ênfase em Marketing e Comunicação, atuando principalmente nos seguintes temas: marketing, marketing de relacionamento, clientes, consumo, projetos, comunicação, fidelização e planejamento estratégico.",19-09-2022,,
RELAÇÕES DE CONSUMO INTERMEDIADAS POR SITES DE RECLAMAÇÃO ON LINE,2015,,Português,Veredas FAVIP (Online),XX,1984-8463,"['Gabriela Rocha Barros Coelho', 'Georgina Venancio de Queiroz', 'Karlla Lacerda R da Silva', 'Janaina de Holanda Costa Calazans']","['1', '2', '3', '4']",['2'],-99.0,5943304308541304,Georgina Venancio de Queiroz,Queiroz,"Venancio, Georgina;Queiroz, Georgina V;Queiroz, GV;Venancio, Georgina Queiroz;Queiroz, Georgina",Recife,PE,"Mestra em Gestão Empresarial pela UniFBV&amp;#10;Especialista em Marketing pela FGV e em Planejamento e Gestão Organizacional pela FCAP&amp;#10;Graduação em Administração de Empresas pela Universidade Católica de Pernambuco.&amp;#10;&amp;#10;Titular de disciplinas na CESAR School (www.cesar.school)&amp;#10;Integrante do grupo de professores convidados de pós graduação do Centro de Desenvolvimento Pessoal e Empresarial - CEDEPE (www.cedepe.com.br)&amp;#10;Atua como professora convidada e coordenadora do MBA em Marketing Digital na UniSãoMiguel (www.unisaomiguel.edu.br)&amp;#10;&amp;#10;Tem experiências na área de Gestão, com ênfase em Marketing e Comunicação, atuando principalmente nos seguintes temas: marketing, marketing de relacionamento, clientes, consumo, projetos, comunicação, fidelização e planejamento estratégico.",19-09-2022,,
Retificação polar: um método eficaz para retificar pares de imagens e gerar reconstrução densa robust,2010,,Português,Revista Eletrônica de Iniciação Científica,B5,1519-8219,"['Rafael Roberto', 'Andréa Gomes dos Santos']","['1', '2']",['2'],-99.0,5955327888153694,Andréa Gomes dos Santos,Santos,"SANTOS, A. G.",Canterbury,,"Mestre em Administração, com foco em Sistemas de Informação, pela Universidade Federal de Pernambuco (PROPAD) (2014), Pós-graduada em Gerenciamento de Projetos Sociais (2015) e Graduada em Engenharia da Computação pela Universidade de Pernambuco (2011). Atualmente, atua na área de projetos Educacionais na CESAR School, como gestora de projetos com ênfase em aprendizagem voltadas para o pensamento computacional e novas tecnologias, especialmente no fomento de competências e habilidades do novo século, tais aprendizados são estimulados por meio de abordagens como ABP e Experimentação &amp;quot;Hands-on?. Além da gestão de projetos, coordena ações de impacto social no CESAR. Áreas de atuação: Educação, Inovação, Projetos Sociais, Negócios Sociais e Empreendedorismo.",03-06-2022,Centro de Estudos e Sistemas Avançados do Recife,
Proposta de Arquitetura Utilizando o Paradigma SOA para o Avatar Educação,2016,10.25286/repa.v3i1.528,Português,Revista de Engenharia e Pesquisa Aplicada,XX,2525-4251,['Marcos de Souza Oliveira'],['1'],['1'],-99.0,6137784444858483,Marcos de Souza Oliveira,Oliveira,"OLIVEIRA, M. S.;OLIVEIRA, MARCOS DE SOUZA;SOUZA, MARCUS;OLIVEIRA, MARCOS DE S.",,,"Possui graduação em Ciência da Computação pela Faculdade dos Guararapes (2014), especialização em Engenharia de Software pela Universidade de Pernambuco (2016), mestrado  em Ciências da Computação pela Universidade Federal de Pernambuco (2018) e doutorando  em Ciências da Computação pela Universidade Federal de Pernambuco (2020). Atualmente é cientista de dados e engenheiro de software do Centro de Estudos e Sistemas Avançados do Recife (CESAR). Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Computacional e machine learning, atuando principalmente nos seguintes temas: clustering, feature selection, genetic algorithms e particle swarm optimization.",15-07-2022,,https://orcid.org/0000-0003-0923-8691
Modelo preditivo para classificação de estudantes com retenção universitária,2020,10.52614/2317-0115.2016.244962,Português,RMP - REVISTA DOS MESTRADOS PROFISSIONAIS,XX,2317-0115,"['Othon Luiz Teixeira de Oliveira', 'Marcos de Souza Oliveira', 'Orlando Brandão', 'Eric Sales']","['1', '2', '3', '4']",['2'],-99.0,6137784444858483,Marcos de Souza Oliveira,Oliveira,"OLIVEIRA, M. S.;OLIVEIRA, MARCOS DE SOUZA;SOUZA, MARCUS;OLIVEIRA, MARCOS DE S.",,,"Possui graduação em Ciência da Computação pela Faculdade dos Guararapes (2014), especialização em Engenharia de Software pela Universidade de Pernambuco (2016), mestrado  em Ciências da Computação pela Universidade Federal de Pernambuco (2018) e doutorando  em Ciências da Computação pela Universidade Federal de Pernambuco (2020). Atualmente é cientista de dados e engenheiro de software do Centro de Estudos e Sistemas Avançados do Recife (CESAR). Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Computacional e machine learning, atuando principalmente nos seguintes temas: clustering, feature selection, genetic algorithms e particle swarm optimization.",15-07-2022,,https://orcid.org/0000-0003-0923-8691
Unsupervised Feature Selection Methodology for Clustering in High Dimensionality Datasets,2020,10.22456/2175-2745.96081,Português,REVISTA DE INFORMÁTICA TEÓRICA E APLICADA (IMPRESSO),XX,0103-4308,"['Marcos de Souza Oliveira', 'QUEIROZ, SERGIO']","['1', '2']",['1'],-99.0,6137784444858483,Marcos de Souza Oliveira,Oliveira,"OLIVEIRA, M. S.;OLIVEIRA, MARCOS DE SOUZA;SOUZA, MARCUS;OLIVEIRA, MARCOS DE S.",,,"Possui graduação em Ciência da Computação pela Faculdade dos Guararapes (2014), especialização em Engenharia de Software pela Universidade de Pernambuco (2016), mestrado  em Ciências da Computação pela Universidade Federal de Pernambuco (2018) e doutorando  em Ciências da Computação pela Universidade Federal de Pernambuco (2020). Atualmente é cientista de dados e engenheiro de software do Centro de Estudos e Sistemas Avançados do Recife (CESAR). Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Computacional e machine learning, atuando principalmente nos seguintes temas: clustering, feature selection, genetic algorithms e particle swarm optimization.",15-07-2022,,https://orcid.org/0000-0003-0923-8691
Unsupervised feature selection method based on iterative similarity graph factorization and clustering by modularity,2022,10.1016/j.eswa.2022.118092,Inglês,EXPERT SYSTEMS WITH APPLICATIONS,A1,0957-4174,"['Marcos de Souza Oliveira', 'QUEIROZ, SERGIO R. DE M.', 'CARVALHO, FRANCISCO DE A.T. DE']","['1', '2', '3']",['1'],-99.0,6137784444858483,Marcos de Souza Oliveira,Oliveira,"OLIVEIRA, M. S.;OLIVEIRA, MARCOS DE SOUZA;SOUZA, MARCUS;OLIVEIRA, MARCOS DE S.",,,"Possui graduação em Ciência da Computação pela Faculdade dos Guararapes (2014), especialização em Engenharia de Software pela Universidade de Pernambuco (2016), mestrado  em Ciências da Computação pela Universidade Federal de Pernambuco (2018) e doutorando  em Ciências da Computação pela Universidade Federal de Pernambuco (2020). Atualmente é cientista de dados e engenheiro de software do Centro de Estudos e Sistemas Avançados do Recife (CESAR). Tem experiência na área de Ciência da Computação, com ênfase em Inteligência Computacional e machine learning, atuando principalmente nos seguintes temas: clustering, feature selection, genetic algorithms e particle swarm optimization.",15-07-2022,,https://orcid.org/0000-0003-0923-8691
Educational resources recommendation system based on agents and semantic web for helping students in a virtual learning environment,2012,10.1504/ijwbc.2012.048056,Inglês,International Journal of Web Based Communities (Print),XX,1477-8394,"['Olavo Holanda', 'Rafael Ferreira Leite de Mello', 'Evandro de Bastos Costa', 'Ig Ibert', 'Jean Melo', 'Willy Tiengo', 'Mário Peixoto']","['1', '1', '3', '4', '5', '6', '7']",['1'],-99.0,6190254569597745,Rafael Ferreira Leite de Mello,Mello,"Rafael Ferreira;Ferreira, Rafael;Rafael Mello;RAFAEL MELLO;MELLO, RAFAEL FE;FERREIRA'MELLO, RAFAEL;MELLO, RAFAEL FERREIRA;Ferreira Mello, Rafael;Rafael Ferreira Mello;MELLO, RAFAEL FERREIRA LEITE DE;MELLO, RAFAEL;FERREIRAMELLO, RAFAEL;MELLO, RAFAEL F. L.",Arapiraca,AL,"Rafael Ferreira Mello é doutor em ciência da computação com interesses de pesquisa que abrangem processamento de linguagem natural, learning analytics e tecnologia educacional. Ele é professor na Universidade Federal Rural de Pernambuco e no Cesar School, no Brasil, onde é um dos coordenadores do Laboratório de Inteligência Artificial (https://aiboxlab.org/), que desenvolve várias iniciativas relacionadas a learning analytics (LA). Dr. Mello realizou pós-doutorado na Escola de Informática da Universidade de Edimburgo em 2018, onde continua a ter colaborações. Ele trabalha em vários projetos de pesquisa multinacionais, que envolvem parceiros acadêmicos e empresas na Europa, Austrália, Estados Unidos e América Latina. A experiência anterior do Dr. Mello também inclui um projeto de pesquisa financiado pela Hewlett-Packard, onde atuou como líder técnico. Um tema-chave de sua pesquisa recente tem sido o uso do processamento de linguagem natural aplicados como educação e temas mais focados em análise de textos como sumarização e classificação.",08-01-2023,Universidade Federal Rural de Pernambuco,https://orcid.org/0000-0003-3548-9670
